latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
10.369068,77.96834,283.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°),hour,day,month,dayofweek,dayofyear,temp_lag_1h,rain_lag_1h,temp_lag_3h,rain_lag_3h,temp_lag_6h,rain_lag_6h,temp_lag_12h,rain_lag_12h,temp_lag_24h,rain_lag_24h,temp_roll_mean_6h,rain_roll_sum_6h,temp_roll_mean_12h,rain_roll_sum_12h,temp_roll_mean_24h,rain_roll_sum_24h,temp_diff_1h,rain_diff_1h,district,target_temp,target_rain
2024-01-03 00:00:00,22.1,89,0.0,980.3,5.0,12.7,98,111,0,3,1,2,3,22.3,0.0,21.6,0.0,22.6,0.0,28.2,0.0,21.9,0.0,21.9,0.0,23.166666666666668,0.1,24.9625,0.1,-0.1999999999999993,0.0,Dindigul,22.2,2.3
2024-01-03 01:00:00,22.2,90,0.0,981.1,3.2,9.0,85,90,1,3,1,2,3,22.1,0.0,21.6,0.0,22.1,0.0,26.5,0.0,22.3,0.0,21.916666666666668,0.0,22.808333333333334,0.1,24.95833333333333,0.1,0.0999999999999978,0.0,Dindigul,22.7,0.4
2024-01-03 02:00:00,22.8,84,0.0,981.9,5.9,8.9,76,76,2,3,1,2,3,22.2,0.0,22.3,0.0,21.7,0.0,25.3,0.0,22.6,0.0,22.1,0.0,22.6,0.1,24.96666666666667,0.1,0.6000000000000014,0.0,Dindigul,22.7,0.3
2024-01-03 03:00:00,24.1,77,0.0,982.7,10.3,14.0,67,65,3,3,1,2,3,22.8,0.0,22.1,0.0,21.6,0.0,24.2,0.0,24.1,0.0,22.51666666666667,0.0,22.59166666666667,0.1,24.96666666666667,0.1,1.3000000000000007,0.0,Dindigul,23.1,0.2
2024-01-03 04:00:00,25.8,68,0.1,983.0,9.2,11.9,61,59,4,3,1,2,3,24.1,0.0,22.2,0.0,21.6,0.0,24.4,0.1,25.6,0.0,23.21666666666667,0.1,22.70833333333333,0.1,24.975,0.2,1.6999999999999993,0.1,Dindigul,23.9,0.2
2024-01-03 05:00:00,26.9,63,0.0,982.8,6.7,8.8,55,54,5,3,1,2,3,25.8,0.1,22.8,0.0,22.3,0.0,23.6,0.0,27.2,0.0,23.98333333333333,0.1,22.98333333333333,0.1,24.962499999999995,0.2,1.099999999999998,-0.1,Dindigul,25.1,0.3
2024-01-03 06:00:00,28.0,58,0.0,982.0,5.6,7.1,49,45,6,3,1,2,3,26.9,0.0,24.1,0.0,22.1,0.0,22.6,0.0,27.2,0.0,24.96666666666667,0.1,23.433333333333337,0.1,24.995833333333337,0.2,1.1000000000000014,0.0,Dindigul,26.2,0.1
2024-01-03 07:00:00,29.2,53,0.0,980.4,4.3,6.0,65,66,7,3,1,2,3,28.0,0.0,25.8,0.1,22.2,0.0,22.1,0.0,27.3,0.0,26.133333333333336,0.1,24.025,0.1,25.075,0.2,1.1999999999999993,0.0,Dindigul,27.1,0.2
2024-01-03 08:00:00,29.9,50,0.0,979.3,4.3,5.8,90,95,8,3,1,2,3,29.2,0.0,26.9,0.0,22.8,0.0,21.7,0.0,28.8,0.0,27.316666666666663,0.1,24.70833333333333,0.1,25.120833333333334,0.2,0.6999999999999993,0.0,Dindigul,26.8,0.6
2024-01-03 09:00:00,30.0,48,0.0,978.3,6.8,8.6,88,90,9,3,1,2,3,29.9,0.0,28.0,0.0,24.1,0.0,21.6,0.0,29.1,0.0,28.3,0.1,25.40833333333333,0.1,25.15833333333333,0.2,0.1000000000000014,0.0,Dindigul,25.7,0.6
