latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
10.931458,78.04252,126.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°),hour,day,month,dayofweek,dayofyear,temp_lag_1h,rain_lag_1h,temp_lag_3h,rain_lag_3h,temp_lag_6h,rain_lag_6h,temp_lag_12h,rain_lag_12h,temp_lag_24h,rain_lag_24h,temp_roll_mean_6h,rain_roll_sum_6h,temp_roll_mean_12h,rain_roll_sum_12h,temp_roll_mean_24h,rain_roll_sum_24h,temp_diff_1h,rain_diff_1h,district,target_temp,target_rain
2024-01-03 00:00:00,22.8,85,0.0,997.7,8.0,16.2,93,95,0,3,1,2,3,23.2,0.0,24.0,0.0,25.0,0.0,30.4,0.0,22.6,0.0,23.75,0.0,25.316666666666663,0.0,27.091666666666665,0.0,-0.3999999999999986,0.0,Karur,23.2,1.8
2024-01-03 01:00:00,23.1,83,0.0,998.5,6.6,12.6,95,99,1,3,1,2,3,22.8,0.0,23.6,0.0,24.6,0.0,29.2,0.0,23.1,0.0,23.5,0.0,24.808333333333334,0.0,27.091666666666665,0.0,0.3000000000000007,0.0,Karur,23.8,0.1
2024-01-03 02:00:00,23.9,79,0.0,999.4,5.9,8.4,97,101,2,3,1,2,3,23.1,0.0,23.2,0.0,24.3,0.0,28.3,0.0,23.9,0.0,23.433333333333334,0.0,24.441666666666663,0.0,27.091666666666665,0.0,0.7999999999999972,0.0,Karur,23.9,0.0
2024-01-03 03:00:00,25.8,70,0.0,1000.1,4.0,5.2,78,80,3,3,1,2,3,23.9,0.0,22.8,0.0,24.0,0.0,27.3,0.0,25.0,0.0,23.73333333333333,0.0,24.316666666666663,0.0,27.125,0.0,1.900000000000002,0.0,Karur,24.9,0.0
2024-01-03 04:00:00,27.8,60,0.0,1000.5,3.5,4.3,66,66,4,3,1,2,3,25.8,0.0,23.1,0.0,23.6,0.0,26.1,0.0,27.3,0.0,24.433333333333334,0.0,24.45833333333333,0.0,27.14583333333333,0.0,2.0,0.0,Karur,26.5,0.2
2024-01-03 05:00:00,29.5,51,0.0,1000.2,4.0,5.2,65,63,5,3,1,2,3,27.8,0.0,23.9,0.0,23.2,0.0,25.4,0.0,28.4,0.0,25.48333333333333,0.0,24.8,0.0,27.191666666666663,0.0,1.6999999999999993,0.0,Karur,27.3,0.2
2024-01-03 06:00:00,31.1,45,0.0,999.2,3.7,5.0,60,61,6,3,1,2,3,29.5,0.0,25.8,0.0,22.8,0.0,25.0,0.0,30.7,0.0,26.86666666666667,0.0,25.308333333333334,0.0,27.20833333333333,0.0,1.6000000000000014,0.0,Karur,28.4,0.1
2024-01-03 07:00:00,32.2,41,0.0,997.6,4.4,5.5,58,55,7,3,1,2,3,31.1,0.0,27.8,0.0,23.1,0.0,24.6,0.0,30.7,0.0,28.383333333333336,0.0,25.941666666666663,0.0,27.27083333333333,0.0,1.1000000000000014,0.0,Karur,25.8,3.3
2024-01-03 08:00:00,33.2,38,0.0,996.1,4.2,5.4,70,70,8,3,1,2,3,32.2,0.0,29.5,0.0,23.9,0.0,24.3,0.0,31.0,0.0,29.933333333333337,0.0,26.683333333333337,0.0,27.3625,0.0,1.0,0.0,Karur,25.1,3.2
2024-01-03 09:00:00,33.3,37,0.0,995.1,5.4,6.8,93,94,9,3,1,2,3,33.2,0.0,31.1,0.0,25.8,0.0,24.0,0.0,32.4,0.0,31.183333333333337,0.0,27.45833333333333,0.0,27.4,0.0,0.0999999999999943,0.0,Karur,24.7,0.9
