latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
11.42355,76.684494,2241.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°),hour,day,month,dayofweek,dayofyear,temp_lag_1h,rain_lag_1h,temp_lag_3h,rain_lag_3h,temp_lag_6h,rain_lag_6h,temp_lag_12h,rain_lag_12h,temp_lag_24h,rain_lag_24h,temp_roll_mean_6h,rain_roll_sum_6h,temp_roll_mean_12h,rain_roll_sum_12h,temp_roll_mean_24h,rain_roll_sum_24h,temp_diff_1h,rain_diff_1h,district,target_temp,target_rain
2024-01-03 00:00:00,10.5,94,0.0,781.0,3.3,5.0,291,264,0,3,1,2,3,11.1,0.0,11.9,0.0,12.0,0.0,15.7,0.0,12.7,0.0,11.433333333333332,0.0,12.033333333333331,0.3,14.279166666666669,0.3,-0.5999999999999996,0.0,Ooty,12.7,0.1
2024-01-03 01:00:00,12.4,94,0.0,782.9,4.7,8.8,279,274,1,3,1,2,3,10.5,0.0,11.2,0.0,12.0,0.0,13.9,0.3,12.0,0.0,11.5,0.0,11.908333333333331,0.0,14.295833333333334,0.3,1.9000000000000004,0.0,Ooty,13.0,0.0
2024-01-03 02:00:00,13.4,93,0.0,784.0,5.9,8.6,285,281,2,3,1,2,3,12.4,0.0,11.1,0.0,11.9,0.0,12.8,0.0,14.1,0.0,11.75,0.0,11.958333333333334,0.0,14.266666666666666,0.3,1.0,0.0,Ooty,13.1,0.0
2024-01-03 03:00:00,15.2,90,0.0,786.0,5.4,8.2,308,323,3,3,1,2,3,13.4,0.0,10.5,0.0,11.9,0.0,12.7,0.0,16.1,0.0,12.3,0.0,12.166666666666666,0.0,14.229166666666666,0.3,1.799999999999999,0.0,Ooty,14.2,0.1
2024-01-03 04:00:00,16.6,84,0.0,787.2,4.8,6.4,344,347,4,3,1,2,3,15.2,0.0,12.4,0.0,11.2,0.0,11.9,0.0,17.1,0.0,13.199999999999998,0.0,12.558333333333332,0.0,14.208333333333334,0.3,1.400000000000002,0.0,Ooty,14.8,0.2
2024-01-03 05:00:00,17.6,80,0.0,787.8,5.1,6.2,353,356,5,3,1,2,3,16.6,0.0,13.4,0.0,11.1,0.0,12.5,0.0,18.3,0.0,14.283333333333331,0.0,12.983333333333333,0.0,14.179166666666667,0.3,1.0,0.0,Ooty,14.9,0.1
2024-01-03 06:00:00,18.6,72,0.5,787.6,5.2,6.5,341,348,6,3,1,2,3,17.6,0.0,15.2,0.0,10.5,0.0,12.0,0.0,17.5,0.0,15.633333333333336,0.5,13.533333333333331,0.5,14.225,0.8,1.0,0.5,Ooty,15.6,0.2
2024-01-03 07:00:00,16.0,82,4.7,785.7,5.9,8.0,350,346,7,3,1,2,3,18.6,0.5,16.6,0.0,12.4,0.0,12.0,0.0,19.3,0.0,16.233333333333334,5.2,13.866666666666664,5.2,14.0875,5.5,-2.6000000000000014,4.2,Ooty,15.9,0.2
2024-01-03 08:00:00,16.0,88,1.2,785.1,8.4,11.5,340,340,8,3,1,2,3,16.0,4.7,17.6,0.0,13.4,0.0,11.9,0.0,17.9,0.0,16.666666666666668,6.4,14.208333333333334,6.4,14.008333333333333,6.7,0.0,-3.5,Ooty,15.8,0.2
2024-01-03 09:00:00,15.4,85,2.2,784.2,6.8,9.0,331,335,9,3,1,2,3,16.0,1.2,18.6,0.5,15.2,0.0,11.9,0.0,17.2,0.0,16.7,8.600000000000001,14.5,8.600000000000001,13.933333333333335,8.9,-0.5999999999999996,1.0000000000000002,Ooty,14.9,0.5
