latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
10.790861,78.700264,81.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°),hour,day,month,dayofweek,dayofyear,temp_lag_1h,rain_lag_1h,temp_lag_3h,rain_lag_3h,temp_lag_6h,rain_lag_6h,temp_lag_12h,rain_lag_12h,temp_lag_24h,rain_lag_24h,temp_roll_mean_6h,rain_roll_sum_6h,temp_roll_mean_12h,rain_roll_sum_12h,temp_roll_mean_24h,rain_roll_sum_24h,temp_diff_1h,rain_diff_1h,district,target_temp,target_rain
2024-01-03 00:00:00,22.5,84,0.0,1002.9,8.9,19.8,37,47,0,3,1,2,3,22.6,0.0,22.9,0.0,23.8,0.0,27.8,0.0,21.9,0.0,22.9,0.0,23.950000000000003,0.0,25.870833333333334,0.0,-0.1000000000000014,0.0,Tiruchirappalli,22.6,0.8
2024-01-03 01:00:00,22.8,83,0.0,1003.5,10.7,21.1,30,33,1,3,1,2,3,22.5,0.0,22.7,0.0,23.5,0.0,26.4,0.0,23.2,0.0,22.78333333333333,0.0,23.65,0.0,25.854166666666668,0.0,0.3000000000000007,0.0,Tiruchirappalli,23.2,0.0
2024-01-03 02:00:00,23.6,80,0.0,1004.4,9.2,19.6,26,26,2,3,1,2,3,22.8,0.0,22.6,0.0,23.2,0.0,25.6,0.0,24.2,0.0,22.85,0.0,23.48333333333333,0.0,25.82916666666667,0.0,0.8000000000000007,0.0,Tiruchirappalli,23.5,0.0
2024-01-03 03:00:00,25.6,72,0.0,1005.2,12.4,17.7,29,30,3,3,1,2,3,23.6,0.0,22.5,0.0,22.9,0.0,25.1,0.0,25.6,0.0,23.3,0.0,23.525,0.0,25.829166666666666,0.0,2.0,0.0,Tiruchirappalli,24.2,2.0
2024-01-03 04:00:00,27.5,64,0.0,1005.4,14.6,20.0,38,38,4,3,1,2,3,25.6,0.0,22.8,0.0,22.7,0.0,24.8,0.0,27.2,0.0,24.1,0.0,23.75,0.0,25.841666666666665,0.0,1.8999999999999984,0.0,Tiruchirappalli,24.7,0.8
2024-01-03 05:00:00,28.9,57,0.0,1005.2,14.3,19.1,41,41,5,3,1,2,3,27.5,0.0,23.6,0.0,22.6,0.0,24.3,0.0,28.8,0.0,25.15,0.0,24.13333333333333,0.0,25.84583333333333,0.0,1.3999999999999986,0.0,Tiruchirappalli,24.5,1.2
2024-01-03 06:00:00,29.8,53,0.0,1004.4,12.8,16.6,41,40,6,3,1,2,3,28.9,0.0,25.6,0.0,22.5,0.0,23.8,0.0,30.0,0.0,26.36666666666667,0.0,24.63333333333333,0.0,25.8375,0.0,0.9000000000000021,0.0,Tiruchirappalli,24.7,0.8
2024-01-03 07:00:00,29.9,52,0.0,1002.9,12.2,16.1,42,43,7,3,1,2,3,29.8,0.0,27.5,0.0,22.8,0.0,23.5,0.0,29.1,0.0,27.55,0.0,25.166666666666668,0.0,25.870833333333334,0.0,0.0999999999999978,0.0,Tiruchirappalli,25.0,0.7
2024-01-03 08:00:00,30.3,50,0.0,1001.9,11.0,14.3,51,52,8,3,1,2,3,29.9,0.0,28.9,0.0,23.6,0.0,23.2,0.0,29.8,0.0,28.666666666666668,0.0,25.75833333333333,0.0,25.89166666666667,0.0,0.4000000000000021,0.0,Tiruchirappalli,25.5,0.2
2024-01-03 09:00:00,30.3,49,0.0,1001.0,11.7,15.5,46,45,9,3,1,2,3,30.3,0.0,29.8,0.0,25.6,0.0,22.9,0.0,29.5,0.0,29.450000000000003,0.0,26.375,0.0,25.925,0.0,0.0,0.0,Tiruchirappalli,24.9,0.0
2024-01-03 10:00:00,30.2,51,0.0,1000.5,12.5,17.1,44,44,10,3,1,2,3,30.3,0.0,29.9,0.0,27.5,0.0,22.7,0.0,29.2,0.0,29.9,0.0,27.0,0.0,25.96666666666667,0.0,-0.1000000000000014,0.0,Tiruchirappalli,25.2,0.1
2024-01-03 11:00:00,29.8,51,0.0,1000.6,13.5,18.3,45,44,11,3,1,2,3,30.2,0.0,30.3,0.0,28.9,0.0,22.6,0.0,29.1,0.0,30.05,0.0,27.6,0.0,25.995833333333334,0.0,-0.3999999999999986,0.0,Tiruchirappalli,25.4,0.1
