latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
11.142355,77.37122,304.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°),hour,day,month,dayofweek,dayofyear,temp_lag_1h,rain_lag_1h,temp_lag_3h,rain_lag_3h,temp_lag_6h,rain_lag_6h,temp_lag_12h,rain_lag_12h,temp_lag_24h,rain_lag_24h,temp_roll_mean_6h,rain_roll_sum_6h,temp_roll_mean_12h,rain_roll_sum_12h,temp_roll_mean_24h,rain_roll_sum_24h,temp_diff_1h,rain_diff_1h,district,target_temp,target_rain
2024-01-03 00:00:00,21.2,92,0.0,977.8,4.6,11.5,122,108,0,3,1,2,3,21.7,0.0,22.8,0.0,24.0,0.0,29.3,0.0,21.7,0.0,22.266666666666666,0.0,23.75,0.0,25.3875,0.0,-0.5,0.0,Tirupur,23.1,3.0
2024-01-03 01:00:00,21.7,90,0.0,978.5,3.9,9.5,127,112,1,3,1,2,3,21.2,0.0,22.1,0.0,23.0,0.0,27.0,0.0,22.4,0.0,22.05,0.0,23.308333333333334,0.0,25.35833333333333,0.0,0.5,0.0,Tirupur,22.7,0.2
2024-01-03 02:00:00,22.4,86,0.0,979.4,3.7,8.0,117,119,2,3,1,2,3,21.7,0.0,21.7,0.0,22.8,0.0,25.5,0.0,22.7,0.0,21.98333333333333,0.0,23.05,0.0,25.34583333333333,0.0,0.6999999999999993,0.0,Tirupur,23.2,0.0
2024-01-03 03:00:00,24.1,76,0.0,980.3,8.3,11.0,71,72,3,3,1,2,3,22.4,0.0,21.2,0.0,22.8,0.0,25.5,0.0,23.7,0.0,22.2,0.0,22.933333333333334,0.0,25.3625,0.0,1.7000000000000028,0.0,Tirupur,23.8,0.0
2024-01-03 04:00:00,25.8,67,0.0,980.6,8.9,11.1,61,63,4,3,1,2,3,24.1,0.0,21.7,0.0,22.1,0.0,24.9,0.0,25.0,0.0,22.816666666666663,0.0,23.008333333333336,0.0,25.39583333333333,0.0,1.6999999999999993,0.0,Tirupur,25.0,0.0
2024-01-03 05:00:00,27.2,59,0.0,980.6,7.9,10.3,65,66,5,3,1,2,3,25.8,0.0,22.4,0.0,21.7,0.0,24.5,0.0,26.4,0.0,23.73333333333333,0.0,23.23333333333333,0.0,25.42916666666667,0.0,1.3999999999999986,0.0,Tirupur,26.9,0.1
2024-01-03 06:00:00,28.5,54,0.0,979.7,7.3,9.3,77,79,6,3,1,2,3,27.2,0.0,24.1,0.0,21.2,0.0,24.0,0.0,26.9,0.0,24.950000000000003,0.0,23.60833333333333,0.0,25.495833333333337,0.0,1.3000000000000007,0.0,Tirupur,27.5,0.3
2024-01-03 07:00:00,29.5,49,0.0,978.1,7.1,9.3,74,75,7,3,1,2,3,28.5,0.0,25.8,0.0,21.7,0.0,23.0,0.0,27.5,0.0,26.25,0.0,24.15,0.0,25.57916666666667,0.0,1.0,0.0,Tirupur,28.1,0.3
2024-01-03 08:00:00,30.7,44,0.0,976.8,5.6,7.2,63,63,8,3,1,2,3,29.5,0.0,27.2,0.0,22.4,0.0,22.8,0.0,29.7,0.0,27.633333333333336,0.0,24.808333333333334,0.0,25.620833333333334,0.0,1.1999999999999993,0.0,Tirupur,25.1,1.1
2024-01-03 09:00:00,31.4,41,0.0,975.8,6.6,8.2,52,49,9,3,1,2,3,30.7,0.0,28.5,0.0,24.1,0.0,22.8,0.0,30.1,0.0,28.85,0.0,25.525,0.0,25.675,0.0,0.6999999999999993,0.0,Tirupur,23.6,2.0
2024-01-03 10:00:00,31.1,42,0.0,975.3,8.4,10.6,35,31,10,3,1,2,3,31.4,0.0,29.5,0.0,25.8,0.0,22.1,0.0,30.4,0.0,29.73333333333333,0.0,26.275,0.0,25.704166666666666,0.0,-0.2999999999999971,0.0,Tirupur,23.7,1.8
2024-01-03 11:00:00,30.5,43,0.0,975.2,8.2,10.4,44,41,11,3,1,2,3,31.1,0.0,30.7,0.0,27.2,0.0,21.7,0.0,30.2,0.0,30.28333333333333,0.0,27.00833333333333,0.0,25.716666666666665,0.0,-0.6000000000000014,0.0,Tirupur,24.0,0.7
2024-01-03 12:00:00,30.3,45,0.0,975.6,5.6,9.2,111,117,12,3,1,2,3,30.5,0.0,31.4,0.0,28.5,0.0,21.2,0.0,29.3,0.0,30.58333333333333,0.0,27.766666666666666,0.0,25.758333333333336,0.0,-0.1999999999999993,0.0,Tirupur,23.7,0.4
2024-01-03 13:00:00,28.2,54,0.0,976.6,3.3,7.2,354,354,13,3,1,2,3,30.3,0.0,31.1,0.0,29.5,0.0,21.7,0.0,27.0,0.0,30.366666666666664,0.0,28.308333333333334,0.0,25.808333333333334,0.0,-2.1000000000000014,0.0,Tirupur,24.2,0.0
2024-01-03 14:00:00,27.0,58,0.0,977.7,5.1,6.3,59,82,14,3,1,2,3,28.2,0.0,30.5,0.0,30.7,0.0,22.4,0.0,25.5,0.0,29.75,0.0,28.691666666666663,0.0,25.870833333333334,0.0,-1.1999999999999993,0.0,Tirupur,23.5,0.0
2024-01-03 15:00:00,25.9,66,0.3,978.2,7.5,12.1,60,35,15,3,1,2,3,27.0,0.0,30.3,0.0,31.4,0.0,24.1,0.0,25.5,0.0,28.83333333333333,0.3,28.84166666666667,0.3,25.8875,0.3,-1.1000000000000014,0.3,Tirupur,23.1,0.2
2024-01-03 16:00:00,24.3,78,0.0,978.3,4.6,9.2,79,18,16,3,1,2,3,25.9,0.3,28.2,0.0,31.1,0.0,25.8,0.0,24.9,0.0,27.7,0.3,28.716666666666665,0.3,25.8625,0.3,-1.599999999999998,-0.3,Tirupur,22.9,0.3
2024-01-03 17:00:00,24.6,72,0.0,978.5,8.0,17.9,115,98,17,3,1,2,3,24.3,0.0,27.0,0.0,30.5,0.0,27.2,0.0,24.5,0.0,26.71666666666667,0.3,28.5,0.3,25.86666666666667,0.3,0.3000000000000007,0.0,Tirupur,22.9,0.1
2024-01-03 18:00:00,24.3,72,0.0,978.3,11.8,20.5,121,113,18,3,1,2,3,24.6,0.0,25.9,0.3,30.3,0.0,28.5,0.0,24.0,0.0,25.716666666666665,0.3,28.15,0.3,25.879166666666663,0.3,-0.3000000000000007,0.0,Tirupur,22.2,0.0
2024-01-03 19:00:00,23.4,80,0.0,978.0,7.4,15.4,123,119,19,3,1,2,3,24.3,0.0,24.3,0.0,28.2,0.0,29.5,0.0,23.0,0.0,24.916666666666668,0.3,27.641666666666666,0.3,25.89583333333333,0.3,-0.9000000000000021,0.0,Tirupur,22.6,0.1
2024-01-03 20:00:00,23.1,82,0.0,977.5,6.4,14.1,122,117,20,3,1,2,3,23.4,0.0,24.6,0.0,27.0,0.0,30.7,0.0,22.8,0.0,24.266666666666666,0.3,27.008333333333336,0.3,25.90833333333333,0.3,-0.2999999999999971,0.0,Tirupur,22.4,0.0
2024-01-03 21:00:00,22.7,83,0.0,977.1,5.6,13.0,124,117,21,3,1,2,3,23.1,0.0,24.3,0.0,25.9,0.3,31.4,0.0,22.8,0.0,23.73333333333333,0.0,26.28333333333333,0.3,25.90416666666667,0.3,-0.4000000000000021,0.0,Tirupur,22.5,0.0
2024-01-03 22:00:00,22.4,84,0.0,977.0,6.0,13.0,118,107,22,3,1,2,3,22.7,0.0,23.4,0.0,24.3,0.0,31.1,0.0,22.1,0.0,23.416666666666668,0.0,25.558333333333334,0.3,25.916666666666668,0.3,-0.3000000000000007,0.0,Tirupur,22.6,0.0
2024-01-03 23:00:00,22.4,84,0.0,977.2,5.9,11.9,115,104,23,3,1,2,3,22.4,0.0,23.1,0.0,24.6,0.0,30.5,0.0,21.7,0.0,23.05,0.0,24.883333333333336,0.3,25.945833333333336,0.3,0.0,0.0,Tirupur,22.4,0.0
2024-01-04 00:00:00,22.4,84,0.0,977.8,7.0,11.6,120,111,0,4,1,3,4,22.4,0.0,22.7,0.0,24.3,0.0,30.3,0.0,21.2,0.0,22.73333333333333,0.0,24.225,0.3,25.995833333333334,0.3,0.0,0.0,Tirupur,22.4,0.0
2024-01-04 01:00:00,22.9,86,0.1,978.9,9.5,14.3,118,115,1,4,1,3,4,22.4,0.0,22.4,0.0,23.4,0.0,28.2,0.0,21.7,0.0,22.65,0.1,23.78333333333333,0.4,26.04583333333333,0.4,0.5,0.1,Tirupur,22.6,0.0
2024-01-04 02:00:00,23.6,83,0.1,979.6,10.0,14.2,117,116,2,4,1,3,4,22.9,0.1,22.4,0.0,23.1,0.0,27.0,0.0,22.4,0.0,22.73333333333333,0.2,23.5,0.5,26.09583333333333,0.5,0.7000000000000028,0.0,Tirupur,23.3,0.0
2024-01-04 03:00:00,25.0,75,0.0,980.3,10.3,14.0,102,102,3,4,1,3,4,23.6,0.1,22.4,0.0,22.7,0.0,25.9,0.3,24.1,0.0,23.116666666666664,0.2,23.425,0.2,26.13333333333333,0.5,1.3999999999999986,-0.1,Tirupur,24.5,0.0
2024-01-04 04:00:00,26.5,67,0.1,980.3,10.9,13.7,85,84,4,4,1,3,4,25.0,0.0,22.9,0.1,22.4,0.0,24.3,0.0,25.8,0.0,23.8,0.3,23.60833333333333,0.3,26.1625,0.6,1.5,0.1,Tirupur,25.8,0.2
2024-01-04 05:00:00,27.2,64,0.1,980.0,9.1,11.7,81,81,5,4,1,3,4,26.5,0.1,23.6,0.1,22.4,0.0,24.6,0.0,27.2,0.0,24.6,0.4,23.825,0.4,26.1625,0.7,0.6999999999999993,0.0,Tirupur,26.7,0.3
2024-01-04 06:00:00,27.9,61,0.0,979.1,7.3,9.5,99,99,6,4,1,3,4,27.2,0.1,25.0,0.0,22.4,0.0,24.3,0.0,28.5,0.0,25.516666666666666,0.4,24.125,0.4,26.1375,0.7,0.6999999999999993,-0.1,Tirupur,28.0,0.0
2024-01-04 07:00:00,29.0,56,0.0,977.7,6.9,8.7,85,84,7,4,1,3,4,27.9,0.0,26.5,0.1,22.9,0.1,23.4,0.0,29.5,0.0,26.53333333333333,0.3,24.59166666666667,0.4,26.116666666666664,0.7,1.1000000000000014,0.0,Tirupur,28.8,0.0
2024-01-04 08:00:00,29.1,55,0.0,976.6,6.6,8.4,83,81,8,4,1,3,4,29.0,0.0,27.2,0.1,23.6,0.1,23.1,0.0,30.7,0.0,27.45,0.2,25.091666666666665,0.4,26.05,0.7,0.1000000000000014,0.0,Tirupur,26.9,1.2
2024-01-04 09:00:00,29.6,54,0.2,975.7,6.2,7.6,85,80,9,4,1,3,4,29.1,0.0,27.9,0.0,25.0,0.0,22.7,0.0,31.4,0.0,28.21666666666667,0.4,25.666666666666668,0.6000000000000001,25.975000000000005,0.9,0.5,0.2,Tirupur,23.7,5.8
