iter	RMSE
0	0.7756378106
1	0.7734799469
2	0.7716329084
3	0.769877451
4	0.7681637379
5	0.7666648088
6	0.7652970767
7	0.7639329024
8	0.7628317445
9	0.7614505508
10	0.7605163382
11	0.7595858183
12	0.7586709769
13	0.7577944441
14	0.756890161
15	0.7560548338
16	0.7552838673
17	0.7545569666
18	0.7536121781
19	0.7527922844
20	0.752063601
21	0.7513548478
22	0.7507644228
23	0.7501514973
24	0.7496553398
25	0.7491726862
26	0.7488011414
27	0.7478610673
28	0.7473398282
29	0.7464009943
30	0.7459313393
31	0.7454523612
32	0.7446881639
33	0.7443152887
34	0.7433604245
35	0.742860648
36	0.7427766608
37	0.7425049112
38	0.7416857986
39	0.7409845274
40	0.7406458871
41	0.7405885073
42	0.7401393391
