iter	Passed	Remaining
0	104	52340
1	208	51937
2	344	57095
3	453	56212
4	563	55821
5	672	55333
6	784	55264
7	894	54999
8	1009	55064
9	1112	54532
10	1223	54401
11	1335	54299
12	1444	54125
13	1552	53878
14	1658	53618
15	1771	53575
16	1887	53636
17	1994	53412
18	2109	53402
19	2223	53372
20	2336	53296
21	2448	53207
22	2568	53275
23	2676	53081
24	2793	53085
25	2895	52781
26	3002	52596
27	3108	52393
28	3222	52331
29	3330	52178
30	3446	52139
31	3552	51962
32	3664	51854
33	3777	51772
34	3884	51607
35	3984	51354
36	4096	51265
37	4208	51169
38	4313	50993
39	4420	50831
40	4526	50679
